host,period,avg_loss_x,type_x,avg_loss_y,type_y,mean
alice14.spbu.ru,2019-12-12,0.0,src,0.0,dest,0.0
alice14.spbu.ru,2019-12-13,0.0009868266429829667,src,0.004531213211376128,dest,0.0027590199271795473
alice14.spbu.ru,2019-12-14,0.0005927475634799955,src,0.001246225331238234,dest,0.0009194864473591148
alice14.spbu.ru,2019-12-15,0.00020169179364287125,src,0.0015083798939003166,dest,0.0008550358437715939
alice14.spbu.ru,2019-12-16,0.0001437143950835252,src,0.001288011705854156,dest,0.0007158630504688407
alice14.spbu.ru,2019-12-17,0.00028746515139303926,src,0.002038846267335278,dest,0.0011631557093641587
alice14.spbu.ru,2019-12-18,0.00021774477069075456,src,0.0013725490278971358,dest,0.0007951468992939451
alice14.spbu.ru,2019-12-19,3.8703435867029974e-05,src,0.0009752547348411604,dest,0.0005069790853540952
alice14.spbu.ru,2019-12-20,1.5789474066542953e-05,src,0.0005979911214068333,dest,0.00030689029773668815
alice14.spbu.ru,2019-12-21,1.798978687943709e-05,src,0.0002241579562633295,dest,0.0001210738715713833
alice14.spbu.ru,2019-12-22,3.45003187641217e-05,src,0.00012999071793443935,dest,8.224551834928053e-05
alice14.spbu.ru,2019-12-23,9.422848699687873e-05,src,0.0005108467541098011,dest,0.0003025376205533399
alice14.spbu.ru,2019-12-24,0.0005873503246065728,src,4.410399363991029e-05,dest,0.0003157271591232415
alice14.spbu.ru,2019-12-25,6.422369770788014e-06,src,0.0001519369073251033,dest,7.917963854794565e-05
alice14.spbu.ru,2019-12-26,0.0002733286946699345,src,0.0005551684198362382,dest,0.0004142485572530864
alice14.spbu.ru,2019-12-27,8.327385402689399e-06,src,6.186057561523228e-05,dest,3.509398050896084e-05
alice14.spbu.ru,2019-12-28,3.2681675356927535e-05,src,0.0,dest,1.6340837678463767e-05
alice14.spbu.ru,2019-12-29,4.236335034816043e-06,src,,dest,4.236335034816043e-06
alice14.spbu.ru,2019-12-30,3.0488442887287004e-06,src,,dest,3.0488442887287004e-06
alice14.spbu.ru,2019-12-31,4.258614117831303e-06,src,,dest,4.258614117831303e-06
alice14.spbu.ru,2020-01-01,2.3100023659375997e-06,src,,dest,2.3100023659375997e-06
alice14.spbu.ru,2020-01-02,,src,,dest,
alice14.spbu.ru,2020-01-03,0.0,src,,dest,0.0
alice14.spbu.ru,2020-01-04,0.0,src,,dest,0.0
alice14.spbu.ru,2020-01-05,5.777007649996458e-06,src,,dest,5.777007649996458e-06
alice14.spbu.ru,2020-01-06,2.2956841694545153e-06,src,,dest,2.2956841694545153e-06
alice14.spbu.ru,2020-01-07,6.379030541845428e-06,src,,dest,6.379030541845428e-06
alice14.spbu.ru,2020-01-08,0.0,src,,dest,0.0
alice14.spbu.ru,2020-01-09,0.0,src,,dest,0.0
alice14.spbu.ru,2020-01-10,0.0,src,,dest,0.0
alice14.spbu.ru,2020-01-11,6.968641283723951e-06,src,,dest,6.968641283723951e-06
alice14.spbu.ru,2020-01-12,7.737542743843909e-07,src,,dest,7.737542743843909e-07
alice14.spbu.ru,2020-01-13,1.1622501443681856e-06,src,,dest,1.1622501443681856e-06
alice14.spbu.ru,2020-01-14,3.0971739579610847e-06,src,,dest,3.0971739579610847e-06
alice14.spbu.ru,2020-01-15,2.8635984234286875e-05,src,2.1721959727600005e-05,dest,2.517897198094344e-05
alice14.spbu.ru,2020-01-16,0.0004984911848676798,src,3.4794711884404106e-05,dest,0.0002666429483760419
alice14.spbu.ru,2020-01-17,0.00012053377055557553,src,6.36574089488325e-05,dest,9.209558975220401e-05
